Date,Portfolio Value,max,drawdown,daily_return
2010-02-11,100.0,100.0,0.0,
2010-02-12,100.20471561427053,100.20471561427053,0.0,0.002047156142705342
2010-02-16,102.14933653538296,102.14933653538296,0.0,0.019406481114103258
2010-02-17,103.00161796158713,103.00161796158713,0.0,0.008343484697122427
2010-02-18,104.00044264606558,104.00044264606558,0.0,0.009697174707012257
2010-02-19,103.97797231990096,104.00044264606558,-0.00021605990890917332,-0.00021605990890916082
2010-02-22,103.63214867912474,104.00044264606558,-0.0035412730712523818,-0.003325931762856893
2010-02-23,101.57513619685176,104.00044264606558,-0.023320155063835894,-0.019849173335603543
2010-02-24,103.11175598111413,104.00044264606558,-0.008545027716620685,0.01512791261519375
2010-02-25,103.08256798506031,104.00044264606558,-0.008825680330313432,-0.0002830714672259482
2010-02-26,103.7256539716979,104.00044264606558,-0.002642187546286178,0.006238552251926821
2010-03-01,105.94235958027922,105.94235958027922,0.0,0.021370852086275205
2010-03-02,106.28102671826781,106.28102671826781,0.0,0.0031967112997135505
2010-03-03,106.57376702316621,106.57376702316621,0.0,0.0027543985407141314
2010-03-04,107.16211060696881,107.16211060696881,0.0,0.005520529115525363
2010-03-05,109.54360657756602,109.54360657756602,0.0,0.022223302220424346
2010-03-08,109.84337000449618,109.84337000449618,0.0,0.002736475786178305
2010-03-09,110.84464652927448,110.84464652927448,0.0,0.009115493495304383
2010-03-10,112.26483677614317,112.26483677614317,0.0,0.012812438772075607
2010-03-11,112.79626471989394,112.79626471989394,0.0,0.004733698983684809
2010-03-12,112.9320241157724,112.9320241157724,0.0,0.0012035805991945647
2010-03-15,112.5303844972949,112.9320241157724,-0.0035564723259167118,-0.0035564723259167152
2010-03-16,113.65037523701858,113.65037523701858,0.0,0.009952785149779597
2010-03-17,114.06895645766164,114.06895645766164,0.0,0.0036830606126034837
2010-03-18,114.64762231415877,114.64762231415877,0.0,0.0050729477542990065
2010-03-19,113.6284861716006,114.64762231415877,-0.008889291570003247,-0.008889291570003288
2010-03-22,115.16963037343768,115.16963037343768,0.0,0.013563009186883468
2010-03-23,116.38515608927928,116.38515608927928,0.0,0.010554220864478436
