Date,TQQQ,max,drawdown,daily_return,stock1_normalized
2020-07-02,59698.02391987849,68234.56768092855,-0.12510585251990994,0.02125767786092103,59698.02391987849
2020-07-06,64084.77751572505,68234.56768092855,-0.06081653780834841,0.07348239200905682,64084.77751572505
2020-07-07,62824.81324803027,68234.56768092855,-0.07928172796807066,-0.019660897900216856,62824.81324803027
2020-07-08,65240.70787472854,68234.56768092855,-0.04387599874889789,0.03845446570864297,65240.70787472854
2020-07-09,66870.5695045425,68234.56768092855,-0.019989841259993667,0.024982279973778443,66870.5695045425
2020-07-10,68286.58684003641,68286.58684003641,0.0,0.021175493882966467,68286.58684003641
2020-07-13,64067.4392658639,68286.58684003641,-0.0617858904568771,-0.0617858904568771,64067.4392658639
2020-07-14,65425.65655578814,68286.58684003641,-0.0418959332518712,0.021199806102566,65425.65655578814
2020-07-15,65749.32005478568,68286.58684003641,-0.037156151781232834,0.004947042430083259,65749.32005478568
2020-07-16,64339.083605753614,68286.58684003641,-0.05780788610111609,-0.02144868491198071,64339.083605753614
2020-07-17,64639.62355890379,68286.58684003641,-0.05340672963602288,0.004671187967049351,64639.62355890379
2020-07-20,70141.85453709408,70141.85453709408,0.0,0.08512164327776928,70141.85453709408
2020-07-21,67899.3512280561,70141.85453709408,-0.0319709725931477,-0.03197097259314774,67899.3512280561
2020-07-22,68685.37981541605,70141.85453709408,-0.020764702206551872,0.011576378465235848,68685.37981541605
2020-07-23,63304.52540530257,70141.85453709408,-0.09747859073466092,-0.0783406079222958,63304.52540530257
2020-07-24,61431.91945838373,70141.85453709408,-0.12417600213441975,-0.029580917555729558,61431.91945838373
2020-07-27,64732.10010419578,70141.85453709408,-0.07712591103557706,0.05372094303593622,64732.10010419578
2020-07-28,62298.86722763634,70141.85453709408,-0.11181608130007492,-0.03758927753993446,62298.86722763634
2020-07-29,64419.99837812192,70141.85453709408,-0.0815754900798381,0.03404766803760806,64419.99837812192
2020-07-30,65466.11394197228,70141.85453709408,-0.06666120572345384,0.016238987739646493,65466.11394197228
2020-07-31,68997.4815414899,70141.85453709408,-0.016315123162290845,0.05394191570081208,68997.4815414899
2020-08-03,71569.4292359873,71569.4292359873,0.0,0.037275964818380025,71569.4292359873
2020-08-04,72499.95352774707,72499.95352774707,0.0,0.013001700610068223,72499.95352774707
2020-08-05,73077.91870724883,73077.91870724883,0.0,0.007971938620354502,73077.91870724883
2020-08-06,75875.26805946558,75875.26805946558,0.0,0.038278995922461645,75875.26805946558
2020-08-07,73395.79691026016,75875.26805946558,-0.032678252250287775,-0.032678252250287754,73395.79691026016
2020-08-10,72407.47698245509,75875.26805946558,-0.045703839547462134,-0.013465620231816189,72407.47698245509
2020-08-11,68298.14420343572,75875.26805946558,-0.09986289406043958,-0.05675287898810644,68298.14420343572
2020-08-12,73407.35868318383,75875.26805946558,-0.03252587357381828,0.07480751547991682,73407.35868318383
2020-08-13,73921.74734017842,75875.26805946558,-0.025746475356846595,0.007007317334691399,73921.74734017842
2020-08-14,73707.89863633401,75875.26805946558,-0.028564899717164048,-0.002892906506393955,73707.89863633401
2020-08-17,76141.13592241782,76141.13592241782,0.0,0.03301189331267085,76141.13592241782
2020-08-18,78377.85834499398,78377.85834499398,0.0,0.02937600543358343,78377.85834499398
2020-08-19,76846.25414693386,78377.85834499398,-0.01954128666438535,-0.01954128666438537,76846.25414693386
2020-08-20,80007.71556528358,80007.71556528358,0.0,0.04114008488045284,80007.71556528358
2020-08-21,81678.04340033043,81678.04340033043,0.0,0.020877084456734973,81678.04340033043
2020-08-24,83192.30934852941,83192.30934852941,0.0,0.018539449344753267,83192.30934852941
2020-08-25,85134.27270441724,85134.27270441724,0.0,0.02334306345256132,85134.27270441724
2020-08-26,90584.48011397531,90584.48011397531,0.0,0.06401895777604127,90584.48011397531
2020-08-27,89763.77061736869,90584.48011397531,-0.009060155730584173,-0.009060155730584163,89763.77061736869
2020-08-28,91150.89233960216,91150.89233960216,0.0,0.015453024228965218,91150.89233960216
2020-08-31,93260.46171716401,93260.46171716401,0.0,0.02314370516200981,93260.46171716401
2020-09-01,98103.81274348428,98103.81274348428,0.0,0.051933594763973634,98103.81274348428
2020-09-02,100872.26207291619,100872.26207291619,0.0,0.0282195895553079,100872.26207291619
2020-09-03,85382.79349845958,100872.26207291619,-0.15355528126513057,-0.15355528126513063,85382.79349845958
2020-09-04,81862.98767186563,100872.26207291619,-0.1884489750741346,-0.04122383073186109,81862.98767186563
2020-09-08,70292.12671843136,100872.26207291619,-0.3031570297529342,-0.14134422994447948,70292.12671843136
2020-09-09,76331.86548993924,100872.26207291619,-0.24328190999858568,0.08592340356554029,76331.86548993924
2020-09-10,71916.20746178346,100872.26207291619,-0.2870566597406297,-0.05784816078859989,71916.20746178346
2020-09-11,70344.1414680148,100872.26207291619,-0.302641380073681,-0.021859689898192425,70344.1414680148
2020-09-14,73967.98561282443,100872.26207291619,-0.26671629947828296,0.05151593393825671,73967.98561282443
2020-09-15,77112.11319083735,100872.26207291619,-0.23554690252612412,0.042506600010313145,77112.11319083735
2020-09-16,73407.35868318382,100872.26207291619,-0.2722740902734904,-0.04804374247253462,73407.35868318382
2020-09-17,70026.26326500346,100872.26207291619,-0.30579267455720865,-0.04605935261576022,70026.26326500346
2020-09-18,67321.38604855431,100872.26207291619,-0.3326075507269719,-0.03862661079333862,67321.38604855431
2020-09-21,68118.97640883795,100872.26207291619,-0.324700616314149,0.01184750355122488,68118.97640883795
2020-09-22,71841.07357587702,100872.26207291619,-0.28780150162642115,0.05464112004120136,71841.07357587702
2020-09-23,65188.69312514508,100872.26207291619,-0.35375006185523034,-0.09259856680323453,65188.69312514508
2020-09-24,66142.33655322784,100872.26207291619,-0.34429609097676017,0.014628969877521714,66142.33655322784
2020-09-25,70777.61535264114,100872.26207291619,-0.29834412455746195,0.07008036064288525,70777.61535264114
2020-09-28,74973.64379049065,100872.26207291619,-0.2567466789205594,0.0592846822677382,74973.64379049065
2020-09-29,74187.61079360632,100872.26207291619,-0.2645390390870851,-0.01048412424879408,74187.61079360632
2020-09-30,75655.63846915931,100872.26207291619,-0.24998570554042765,0.019788043580984516,75655.63846915931
2020-10-01,79198.56784160064,100872.26207291619,-0.21486277581094168,0.046829680432683096,79198.56784160064
2020-10-02,72667.56395894551,100872.26207291619,-0.27960806602693933,-0.08246366141010686,72667.56395894551
2020-10-05,77250.82800877535,100872.26207291619,-0.23417174928689438,0.06307166224010508,77250.82800877535
2020-10-06,73101.03784357183,100872.26207291619,-0.27531081051072037,-0.05371839075604634,73101.03784357183
2020-10-07,76944.50716916333,100872.26207291619,-0.23720846952412464,0.0525774932746661,76944.50716916333
2020-10-08,78077.31398231945,100872.26207291619,-0.22597835740135633,0.014722387014132421,78077.31398231945
2020-10-09,81550.89035531617,100872.26207291619,-0.1915429605775415,0.04448893277480459,81550.89035531617
2020-10-12,89156.90541508212,100872.26207291619,-0.11614051689814932,0.09326710017053941,89156.90541508212
2020-10-13,89168.4671880058,100872.26207291619,-0.1160258989379084,0.0001296789392797315,89168.4671880058
2020-10-14,86966.42126515193,100872.26207291619,-0.1378559429718382,-0.024695343458254082,86966.42126515193
2020-10-15,85168.94920413956,100872.26207291619,-0.1556752326762077,-0.02066857569695857,85168.94920413956
2020-10-16,83862.75107332315,100872.26207291619,-0.16862426449104118,-0.015336553321629198,83862.75107332315
2020-10-19,79695.6182487341,100872.26207291619,-0.20993525265522853,-0.04968991323627847,79695.6182487341
2020-10-20,80210.00690572869,100872.26207291619,-0.20483584627309784,0.0064544157922101775,80210.00690572869
2020-10-21,80001.93908834612,100872.26207291619,-0.2068985324179983,-0.002594038143234667,80001.93908834612
2020-10-22,80042.40088405464,100872.26207291619,-0.20649741327109863,0.0005057601874356443,80042.40088405464
2020-10-23,80510.55126840326,100872.26207291619,-0.20185639130204425,0.0058487798863848806,80510.55126840326
2020-10-26,76840.46885094765,100872.26207291619,-0.23823985631051864,-0.04558511101508189,76840.46885094765
2020-10-27,78655.27916182119,100872.26207291619,-0.22024868337973127,0.02361789741801079,78655.27916182119
2020-10-28,69425.17894917876,100872.26207291619,-0.3117515407853716,-0.11734876935155125,69425.17894917876
2020-10-29,72956.5465486964,100872.26207291619,-0.27674322901612664,0.05086580478391989,72956.5465486964
2020-10-30,67882.00856867056,100872.26207291619,-0.3270498036457079,-0.0695556220803123,67882.00856867056
2020-11-02,67905.12770499355,100872.26207291619,-0.32682061143916974,0.00034057825940148057,67905.12770499355
2020-11-03,71320.90403242057,100872.26207291619,-0.29295821698867247,0.050302185458902304,71320.90403242057
2020-11-04,80961.3634028907,100872.26207291619,-0.1973872525594079,0.13517017908365037,80961.3634028907
2020-11-05,87209.1655822568,100872.26207291619,-0.1354494903741023,0.07717017002634896,87209.1655822568
2020-11-06,87503.92464894515,100872.26207291619,-0.13252738809711284,0.0033799092643573836,87503.92464894515
2020-11-09,82163.5320345402,100872.26207291619,-0.18546952010308104,-0.06103032104936934,82163.5320345402
2020-11-10,77730.54016604765,100872.26207291619,-0.22941610935759912,-0.053953277795178,77730.54016604765
2020-11-11,82955.34150836199,100872.26207291619,-0.17761989467037856,0.06721684078295542,82955.34150836199
2020-11-12,81741.61110378883,100872.26207291619,-0.18965224508694606,-0.014631130226265276,81741.61110378883
2020-11-13,83885.86580012177,100872.26207291619,-0.1683951159984465,0.02623210709182544,83885.86580012177
2020-11-16,85816.26738308588,100872.26207291619,-0.14925802574891178,0.023012238886152225,85816.26738308588
2020-11-17,85024.4579092641,100872.26207291619,-0.15710765118161413,-0.009226799276728315,85024.4579092641
2020-11-18,83053.59453059144,100872.26207291619,-0.1766458605780488,-0.023179958180691074,83053.59453059144
2020-11-19,85111.14915856987,100872.26207291619,-0.15624823504952523,0.024773817913691376,85111.14915856987
2020-11-20,83383.03891605085,100872.26207291619,-0.17337990442033643,-0.02030415826367693,83383.03891605085
